id_equipo_local,id_equipo_visitante,goles_local,goles_visitante,resultado,arbitro,fixture_id,fecha_timestamp,goles_descanso_local,goles_descanso_visitante,estadio,season
729,711,0,1,2,,27912,1556402400,,,Estadio Camp Nou Municipal (Reus),2018
731,797,1,1,0,"Jorge Figueroa Vazquez, Spain",27913,1556460000,1.0,0.0,El Molinón-Enrique Castro Quini,2018
722,717,0,0,0,"Daniel Jesus Trujillo Suarez, Spain",27914,1557072000,0.0,0.0,Carlos Belmonte,2018
711,727,0,0,0,"Jose Antonio Lopez Toca,",27915,1556978400,0.0,0.0,Santo Domingo,2018
724,535,1,1,0,"Aitor Gorostegui Fernandez Orte, Spain",27916,1557169200,1.0,1.0,Estadio Ramon de Carranza,2018
713,729,1,0,1,,27917,1557007200,,,Estadio Nuevo Arcángel (Córdoba),2018
797,861,2,1,1,"Victor Areces Franco, Spain",27918,1557072000,0.0,0.0,Estadio Manuel Martínez Valero,2018
714,860,0,1,2,"Javier Iglesias Villanueva, Spain",27919,1556985600,0.0,0.0,Nou Estadi Municipal,2018
716,723,4,2,1,"Saul Ais Reig, Spain",27920,1557050400,2.0,1.0,Anxo Carro,2018
798,731,2,1,1,"Isidro Diaz de Mera Escuderos, Spain",27921,1557064800,1.0,1.0,Iberostar Estadi,2018
718,715,1,1,0,"Oliver de la Fuente Ramos, Spain",27922,1557081000,0.0,0.0,Carlos Tartiere,2018
719,534,2,1,1,"Ruben Avalos Barrera,",27923,1556994600,0.0,0.0,Heliodoro Rodríguez López,2018
732,544,0,1,2,"Inaki Vicandi Garrido, Spain",27924,1556985600,0.0,0.0,La Romareda,2018
723,797,5,3,1,"David Perez Pallas, Spain",27925,1557655200,3.0,2.0,Estadio del Mediterráneo,2018
544,724,1,1,0,"Cesar Soto Grado, Spain",27926,1557669600,1.0,0.0,Estadio de Riazor,2018
860,732,0,3,2,"Jorge Figueroa Vazquez, Spain",27927,1557590400,0.0,1.0,Estadio Francisco de la Hera,2018
714,798,2,1,1,"Abraham Dominguez Cervantes, Spain",27928,1557583200,1.0,0.0,Nou Estadi Municipal,2018
715,719,2,1,1,"Daniel Ocon Arraiz, Spain",27929,1557514800,2.0,0.0,Nuevo Los Cármenes,2018
534,713,1,0,1,"Alvaro Moreno Aragon,",27930,1557684000,1.0,0.0,Gran Canaria,2018
535,718,3,0,1,"Juan Luis Pulido Santana, Spain",27931,1557774000,2.0,0.0,La Rosaleda,2018
717,711,2,0,1,"Damaso Arcediano Monescillo, Spain",27932,1557590400,1.0,0.0,Los Pajaritos,2018
727,729,1,0,1,,27933,1557612000,,,Estadio El Sadar,2018
861,722,2,3,2,"Santiago Varon Aceiton,",27934,1557669600,1.0,3.0,Estadio Cerro del Espino,2018
731,716,0,0,0,"Luis Mario Milla Alvendiz,",27935,1557583200,0.0,0.0,El Molinón-Enrique Castro Quini,2018
722,715,0,1,2,"Valentin Pizarro Gomez, Spain",27936,1558378800,0.0,0.0,Carlos Belmonte,2018
711,860,0,1,2,"Daniel Jesus Trujillo Suarez, Spain",27937,1558188000,0.0,0.0,Santo Domingo,2018
724,727,0,0,0,"Damaso Arcediano Monescillo, Spain",27938,1558281600,0.0,0.0,Estadio Ramon de Carranza,2018
713,714,4,3,1,"Oliver de la Fuente Ramos, Spain",27939,1558288800,3.0,0.0,Estadio Nuevo Arcángel,2018
797,719,3,0,1,"Isidro Diaz de Mera Escuderos, Spain",27940,1558204200,1.0,0.0,Estadio Manuel Martínez Valero,2018
534,861,3,2,1,"Inaki Vicandi Garrido, Spain",27941,1558281600,0.0,1.0,Gran Canaria,2018
716,544,1,0,1,"Gorka Sagues Oscoz, Spain",27942,1558288800,0.0,0.0,Anxo Carro,2018
798,723,1,0,1,"Jose Antonio Lopez Toca,",27943,1558260000,0.0,0.0,Iberostar Estadi,2018
718,717,1,0,1,"Ruben Avalos Barrera,",27944,1558274400,0.0,0.0,Carlos Tartiere,2018
729,535,0,1,2,,27945,1558216800,,,Estadio Municipal de Reus,2018
732,731,4,2,1,"Saul Ais Reig, Spain",27946,1558119600,1.0,1.0,La Romareda,2018
723,711,0,0,0,"Santiago Varon Aceiton, Spain",27947,1558864800,0.0,0.0,Estadio del Mediterráneo,2018
544,798,1,0,1,"Aitor Gorostegui Fernandez Orte, Spain",27948,1558983600,0.0,0.0,Estadio de Riazor,2018
860,716,0,0,0,"Daniel Ocon Arraiz, Spain",27949,1558893600,0.0,0.0,Estadio Francisco de la Hera,2018
714,797,3,3,0,"Alvaro Moreno Aragon, Spain",27950,1558879200,0.0,1.0,Nou Estadi Municipal,2018
715,724,1,1,0,"Juan Luis Pulido Santana, Spain",27951,1558890000,1.0,0.0,Nuevo Los Cármenes,2018
535,732,3,1,1,"Daniel Jesus Trujillo Suarez, Spain",27952,1558724400,0.0,1.0,La Rosaleda,2018
717,729,1,0,1,,27953,1558821600,,,Nuevo Estadio Los Pajaritos (Soria),2018
727,534,2,0,1,"Abraham Dominguez Cervantes, Spain",27954,1558800000,1.0,0.0,Estadio El Sadar,2018
861,713,0,0,0,"David Perez Pallas, Spain",27955,1558792800,0.0,0.0,Estadio Cerro del Espino,2018
731,722,0,2,2,"Inaki Vicandi Garrido, Spain",27956,1558800000,0.0,1.0,El Molinón-Enrique Castro Quini,2018
719,718,2,1,1,"Cesar Soto Grado, Spain",27957,1558886400,1.0,0.0,Heliodoro Rodríguez López,2018
722,535,1,2,2,"Gorka Sagues Oscoz, Spain",27958,1559674800,0.0,1.0,Carlos Belmonte,2018
711,714,0,1,2,"David Perez Pallas, Spain",27959,1559408400,0.0,1.0,Santo Domingo,2018
724,860,0,1,2,"Oliver de la Fuente Ramos, Spain",27960,1559674800,0.0,1.0,Estadio Ramon de Carranza,2018
713,727,2,3,2,"Victor Areces Franco, Spain",27961,1559329200,0.0,2.0,Estadio Nuevo Arcángel,2018
797,544,0,0,0,"Ruben Avalos Barrera, Spain",27962,1559674800,0.0,0.0,Estadio Manuel Martínez Valero,2018
534,723,0,0,0,"Valentin Pizarro Gomez, Spain",27963,1559491200,0.0,0.0,Gran Canaria,2018
716,719,0,0,0,"Jorge Figueroa Vazquez, Spain",27964,1559674800,0.0,0.0,Anxo Carro,2018
798,715,1,1,0,"Damaso Arcediano Monescillo, Spain",27965,1559674800,0.0,0.0,Iberostar Estadi,2018
718,861,4,3,1,"Luis Mario Milla Alvendiz, Spain",27966,1559674800,1.0,1.0,Carlos Tartiere,2018
729,731,0,1,2,,27967,1559426400,,,Estadio Municipal de Reus,2018
732,717,0,0,0,"Javier Iglesias Villanueva, Spain",27968,1559674800,0.0,0.0,La Romareda,2018
