id_jugador,nombre_jugador,equipo_jugador,id_equipo,temporada_equipo
59,Álvaro Morata,Atletico Madrid,530,2022
99,R. Pierre-Gabriel,Espanyol,540,2022
667,M. Depay,Atletico Madrid,530,2022
930,Carlos Soler,Valencia,532,2022
2047,Aleix Vidal,Espanyol,540,2022
46764,Brian Oliván,Espanyol,540,2022
46910,Iván Martos,Almeria,723,2022
46968,Óscar Gil,Espanyol,540,2022
47016,Álvaro Fernández,Espanyol,540,2022
47249,L. Cabrera,Espanyol,540,2022
47329,Adrià Pedrosa,Espanyol,540,2022
47352,Fernando Pacheco,Espanyol,540,2022
47478,Fernando Calero,Espanyol,540,2022
182718,Joan García,Espanyol,540,2022
182735,Ángel Fortuño,Espanyol,540,2022
208670,Diego Bri,Atletico Madrid,530,2022
323815,Oscar Ureña,Girona,547,2022
324750,Carlos Martín,Atletico Madrid,530,2022
1461,Denis Suárez,Espanyol,540,2022
2042,Sergi Gómez,Espanyol,540,2022
2737,M. Braithwaite,Espanyol,540,2022
2873,C. Montes,Espanyol,540,2022
10169,Vinicius Souza,Espanyol,540,2022
18907,Joselu,Espanyol,540,2022
46799,Edu Expósito,Espanyol,540,2022
46825,K. Bare,Espanyol,540,2022
47170,José Carlos Lazo,Espanyol,540,2022
47336,Darder,Espanyol,540,2022
47349,Javier Puado Díaz,Espanyol,540,2022
67940,José Gragera,Espanyol,540,2022
119232,Daniel Gómez Alcón,Espanyol,540,2022
128581,Nico Melamed,Espanyol,540,2022
182719,Dani Villahermosa,Espanyol,540,2022
199824,Rubén Sánchez Sáez,Espanyol,540,2022
286601,O. El Hilali,Espanyol,540,2022
286605,Roger Martínez,Espanyol,540,2022
349397,Simo,Espanyol,540,2022
359603,L. Koleosho,Espanyol,540,2022
570,F. Cervi,Celta Vigo,538,2022
1926,J. Aidoo,Celta Vigo,538,2022
2464,A. Marchesín,Celta Vigo,538,2022
10151,Diego Alves,Celta Vigo,538,2022
46872,Christian Joel,Celta Vigo,538,2022
47277,Unai Núñez,Celta Vigo,538,2022
47416,Óscar Rodríguez,Celta Vigo,538,2022
47426,Rubén Blanco,Celta Vigo,538,2022
47427,Iván Villar,Celta Vigo,538,2022
47432,Hugo Mallo,Celta Vigo,538,2022
47434,Kevin Vázquez,Celta Vigo,538,2022
47435,Fran Beltrán,Celta Vigo,538,2022
47566,Javi Galán,Celta Vigo,538,2022
144734,Nabili Zoubdi Touaizi,Espanyol,540,2022
162495,Fernando Medrano,Celta Vigo,538,2022
162712,Óscar Mingueza,Celta Vigo,538,2022
286559,Carlos Domínguez,Celta Vigo,538,2022
286623,Coke Carrillo,Celta Vigo,538,2022
286645,Kenneth Soler,Espanyol,540,2022
334573,Martín Conde,Celta Vigo,538,2022
582,H. Seferović,Celta Vigo,538,2022
